"title","titlelink","price","room","roomlink","area","arealink","person","personlink","updated_at"
"09810400016 sale 2 bhk ashiana aangan neemran on nh-8 n...","http://gurgaon.quikr.com/09810400016-sale-2-bhk-ashiana-aangan-neemran-on-nh-8-neemrana-W0QQAdIdZ164612288","Rs 3,100","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Alawardi Sarai","http://gurgaon.quikr.com/Apartments-For-Sale/Alawardi-Sarai/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","11-Apr-14"
"apartment for sale in Emmar MGF Palm Hills 9899464647 s...","http://gurgaon.quikr.com/apartment-for-sale-in-Emmar-MGF-Palm-Hills-9899464647-sector-81-gurgaon-on-nh-8-W0QQAdIdZ163744979","Rs 72,50,000","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In DLF Phase 1","http://gurgaon.quikr.com/Apartments-For-Sale/DLF-Phase-1/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","2-Apr-14"
"CAll@ 9711412666, Urgent for sale Paras dews se-106 3BH...","http://gurgaon.quikr.com/CAll-9711412666-Urgent-for-sale-Paras-dews-se-106-3BHK-1760-only-50-primium-W0QQAdIdZ157400640","Rs 5,300","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 104","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-104/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","24-Apr-14"
"3bhk for sale Park View Spa Next","http://gurgaon.quikr.com/3bhk-for-sale-Park-View-Spa-Next-W0QQAdIdZ166739895","Rs 7,350","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Golf Course Extens...","http://gurgaon.quikr.com/Apartments-For-Sale/Golf-Course-Extension-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","26 minutes ago"
"3bhk for sale Tulip Orange front tower / Villa facings ...","http://gurgaon.quikr.com/3bhk-for-sale-Tulip-Orange-front-tower-Villa-facings-unit-W0QQAdIdZ166739642","Rs 6,900","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sohna Road","http://gurgaon.quikr.com/Apartments-For-Sale/Sohna-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","39 minutes ago"
"3 bhk for rent in gurgaon","http://gurgaon.quikr.com/3-bhk-for-rent-in-gurgaon-W0QQAdIdZ143123332","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In South City 2","http://gurgaon.quikr.com/Apartments-For-Sale/South-City-2/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","1 hour ago"
"Duplexpenthouse Vipul greens Gurgaon - Houses - Apartme...","http://gurgaon.quikr.com/Duplexpenthouse-Vipul-greens-Gurgaon-Houses-Apartments-for-Sale-Gurgaon-.9999754546-Gurgaon-W0QQAdIdZ155515474","Contact for Price","4+ BHK","http://gurgaon.quikr.com/4+-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Golf Course Extens...","http://gurgaon.quikr.com/Apartments-For-Sale/Golf-Course-Extension-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","1 hour ago"
"Duplex Penthouse for Sale in Vipul Greens Sohna Road .....","http://gurgaon.quikr.com/Duplex-Penthouse-for-Sale-in-Vipul-Greens-Sohna-Road-.999975-4546-Gurgaon-W0QQAdIdZ155515712","Contact for Price","4+ BHK","http://gurgaon.quikr.com/4+-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 49","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-49/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","1 hour ago"
"3,4,5 BHK Flats For Sale in Sector-47, Gurgaon call @ 9...","http://gurgaon.quikr.com/3-4-5-BHK-Flats-For-Sale-in-Sector-47-Gurgaon-call-9999754546-Gurgaon-W0QQAdIdZ155518896","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sohna Road","http://gurgaon.quikr.com/Apartments-For-Sale/Sohna-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","1 hour ago"
"Duplex Pentouse for sale vipul greens Gurgaon - Houses ...","http://gurgaon.quikr.com/Duplex-Pentouse-for-sale-vipul-greens-Gurgaon-Houses-9999754546-Gurgaon-W0QQAdIdZ155515244","Contact for Price","4+ BHK","http://gurgaon.quikr.com/4+-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 47","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-47/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","1 hour ago"
"for resale/rent in 3,4,5bhk in bestech park view spa se...","http://gurgaon.quikr.com/for-resale-rent-in-3-4-5bhk-in-bestech-park-view-spa-sec-47-gurgaon.call-9999754546-W0QQAdIdZ155518622","Contact for Price","4 BHK","http://gurgaon.quikr.com/4-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sohna Road","http://gurgaon.quikr.com/Apartments-For-Sale/Sohna-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","1 hour ago"
"First time in Bhiwadi 2 BHK @12.99 HURRY!!!","http://gurgaon.quikr.com/First-time-in-Bhiwadi-2-BHK-12.99-HURRY-W0QQAdIdZ166731795","Rs 720","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Bhiwadi","http://gurgaon.quikr.com/Apartments-For-Sale/Bhiwadi/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","2 hours ago"
"Don't waste time get 2 BHK @12.99 (First time in Bhiwad...","http://gurgaon.quikr.com/Don-t-waste-time-get-2-BHK-12.99-First-time-in-Bhiwadi-W0QQAdIdZ166731677","Rs 720","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Bhiwadi","http://gurgaon.quikr.com/Apartments-For-Sale/Bhiwadi/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","2 hours ago"
